id,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price,zip
277339,37.72681,-122.43419,Guest suite,Entire home/apt,1,1,3,$110.00 ,94112
279184,37.7529,-122.41553,Apartment,Entire home/apt,2,3,3,$575.00 ,94110
280549,37.73773,-122.44956,House,Private room,1.5,3,1,$250.00 ,94127
284117,37.74334,-122.42932,Guesthouse,Entire home/apt,1,1,30,$105.00 ,94110
285499,37.76288,-122.43815,Condominium,Entire home/apt,2,2,30,$210.00 ,94114
286311,37.76275,-122.44252,Condominium,Entire home/apt,2,3,4,$475.00 ,94114
287907,37.73225,-122.43614,House,Entire home/apt,2,2,3,$300.00 ,94112
288213,37.75971,-122.38833,Apartment,Entire home/apt,1,1,2,$190.00 ,94107
292723,37.73096,-122.42378,House,Private room,1,1,30,$45.00 ,94134
295240,37.76267,-122.43919,Apartment,Entire home/apt,1,1,2,$299.00 ,94114
295565,37.7303,-122.42464,House,Private room,1,1,30,$30.00 ,94134
306504,37.75587,-122.43602,Apartment,Entire home/apt,1,1,5,$225.00 ,94114
307837,37.75131,-122.437,House,Entire home/apt,1,1,7,$159.00 ,94131
308885,37.79954,-122.40679,Apartment,Entire home/apt,1,1,30,$125.00 ,94108
314248,37.79026,-122.4364,House,Entire home/apt,2.5,3,7,$325.00 ,94115
314368,37.80345,-122.40798,Condominium,Entire home/apt,1,2,1,$600.00 ,94111
317121,37.76641,-122.44667,Apartment,Entire home/apt,1,0,30,$90.00 ,94117
323635,37.72606,-122.43232,House,Private room,0.5,1,2,$48.00 ,94112
325478,37.76065,-122.42414,Apartment,Entire home/apt,1,2,4,$365.00 ,94110
326650,37.78633,-122.43217,Apartment,Entire home/apt,1,1,30,$139.00 ,94115
329020,37.78278,-122.39337,Loft,Entire home/apt,1,1,30,$250.00 ,94105
330535,37.76892,-122.44615,Apartment,Entire home/apt,1,3,30,$189.00 ,94117
330736,37.76592,-122.40628,House,Entire home/apt,1,1,3,$298.00 ,94158
334339,37.76295,-122.44259,Cottage,Private room,1,1,3,$99.00 ,94114
334886,37.80432,-122.44601,Condominium,Private room,1,1,60,$165.00 ,94123
338849,37.78525,-122.43051,Apartment,Private room,1,1,30,$99.00 ,94115
342420,37.76052,-122.42939,House,Entire home/apt,2,4,4,$595.00 ,94114
344621,37.72836,-122.44797,House,Private room,1,1,1,$95.00 ,94127
345760,37.76479,-122.43611,Apartment,Private room,1,1,1,$119.00 ,94114
348580,37.74271,-122.41955,Condominium,Entire home/apt,1,1,2,$160.00 ,94110
348714,37.77307,-122.44293,Guest suite,Entire home/apt,1,1,3,$190.00 ,94117
350479,37.75711,-122.40963,House,Private room,1,1,30,$83.00 ,94110
351881,37.76174,-122.44339,Apartment,Private room,1,1,2,$125.00 ,94114
351950,37.72965,-122.42539,House,Private room,1,1,30,$40.00 ,94112
351978,37.73019,-122.42317,House,Private room,1,1,30,$45.00 ,94134
352165,37.75813,-122.4355,Apartment,Entire home/apt,1,1,2,$115.00 ,94114
353292,37.77093,-122.42823,Condominium,Private room,1,1,4,$90.00 ,94117
361230,37.76079,-122.43447,Apartment,Entire home/apt,1,2,30,$270.00 ,94114
364023,37.72636,-122.43342,Apartment,Private room,1,1,30,$85.00 ,94112
364397,37.7586,-122.43332,Apartment,Private room,1.5,1,2,$95.00 ,94114
366541,37.79178,-122.39502,Apartment,Entire home/apt,2,2,30,$500.00 ,94105
374997,37.76055,-122.44221,Apartment,Entire home/apt,1,3,3,$549.00 ,94114
377452,37.75139,-122.41194,House,Entire home/apt,1,1,31,$200.00 ,94110
377569,37.75131,-122.40795,House,Private room,1,1,3,$70.00 ,94110
379255,37.76588,-122.44281,House,Entire home/apt,3.5,4,5,$672.00 ,94117
379349,37.76648,-122.44542,Guest suite,Entire home/apt,1,1,3,$130.00 ,94117
379418,37.74587,-122.41626,House,Entire home/apt,2.5,3,4,$390.00 ,94110
